,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW,Level
76,STARmap,Mouse Medial Prefrontal Cortex,BZ9,SpatialMGCN,0.383239676,0.375218636,0.617292895,0.71320038,0.362395279,0.388982792,0.375218636,14.37280083,32.03614597,0.179487179,0.091714245,-0.000658919,domain
77,STARmap,Mouse Medial Prefrontal Cortex,BZ9,stLearn,0.28319633,0.308470869,0.521996361,0.663247863,0.321779209,0.29622007,0.308470869,1.334255314,4.253164291,0.304273504,0.099846605,0.057540553,domain
78,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,BASS,0.50599727,0.638446213,0.55870791,0.706710853,0.638785253,0.638107533,0.638446213,465.4207901,454.36,0.522783761,0.128965372,-0.185648929,celltype
79,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,Banksy,0.306484422,0.44647029,0.375293637,0.611599006,0.458705442,0.434918524,0.44647029,6.323499155,104.8365658,0.344656172,0.091700723,-0.043040794,celltype
80,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,CCST,0.256901706,0.336004378,0.336073409,0.52062966,0.336583479,0.335471788,0.336004378,96.43114262,114.4762995,0.112013256,0.071649139,-0.014785379,celltype
81,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,CellCharter,0.353021735,0.457950844,0.416086034,0.586578293,0.480520288,0.43741156,0.457950844,94.23125196,38.27007618,0.516652858,0.099176396,-0.053126116,celltype
82,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,DeepST,0.327566948,0.404630445,0.397161484,0.578624689,0.409962871,0.399439896,0.404630445,49.16400642,75.85041866,0.221872411,0.081109846,-0.005339679,celltype
83,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,GraphST,0.236053995,0.362995135,0.308939125,0.537696769,0.378367772,0.348822873,0.362995135,11.35756121,63.75617046,0.303231152,0.069565517,-0.047132944,celltype
84,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,PRECAST,0.56296633,0.631598038,0.608029589,0.737365369,0.656620078,0.60841304,0.631598038,18.40457206,111.96,0.603148302,0.140845048,-0.100189243,celltype
85,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,SEDR,0.251948886,0.354153327,0.328082111,0.537199669,0.360833619,0.347826016,0.354153327,13.77469277,39.39796066,0.138525269,0.068185845,-0.02385259,celltype
86,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,STAGATE,0.286031245,0.358001399,0.362141542,0.543993372,0.358004523,0.358008569,0.358001399,14.90896106,29.68697605,0.141839271,0.074743995,-0.081083594,celltype
87,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,SpaGCN,0.503409119,0.537405326,0.55524724,0.662800331,0.539658462,0.535170925,0.537405326,23.02807508,41.67616863,0.535211268,0.116724757,-0.158007003,celltype
88,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,SpaceFlow,0.17300859,0.305014615,0.248226101,0.492294946,0.322977734,0.288946524,0.305014615,18.15492425,46.45396919,0.311516156,0.081463817,-0.03724778,celltype
89,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,SpatialMGCN,0.246129935,0.374213788,0.33455639,0.545153273,0.368208674,0.380418026,0.374213788,27.71838078,44.87451096,0.256006628,0.083198886,-0.149029481,celltype
90,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,stLearn,0.523389897,0.635149692,0.571947056,0.728417564,0.656519211,0.615146497,0.635149692,1.411614132,14.45457954,0.74034797,0.143259391,-0.152622261,celltype
91,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,BASS,0.619633733,0.683733085,0.690474603,0.773819387,0.650638095,0.720375287,0.683733085,465.4207901,454.36,0.033968517,0.062962393,0.103903733,domain
92,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,Banksy,0.559455749,0.675672858,0.644494583,0.752444076,0.648817491,0.705803801,0.675672858,5.805286551,104.8362392,0.015907208,0.062892007,0.125325487,domain
93,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,CCST,0.559282035,0.631986113,0.638528352,0.728748964,0.610569157,0.655019385,0.631986113,96.48111982,114.4555328,0.076553438,0.067179379,0.091673592,domain
94,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,CellCharter,0.447745729,0.545459104,0.540258876,0.634134217,0.544270872,0.546880686,0.545459104,93.37485638,38.24836006,0.245236123,0.080231313,0.0687287,domain
95,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,DeepST,0.525447237,0.601737014,0.604302187,0.715990058,0.595778378,0.60818729,0.601737014,66.909268,75.81004524,0.093951947,0.066923015,0.094230922,domain
96,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,GraphST,0.465529304,0.56566232,0.549309511,0.705882353,0.572238193,0.559235864,0.56566232,11.52032294,63.75674782,0.104391052,0.065147201,0.092135272,domain
97,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,PRECAST,0.312021851,0.316231529,0.422399867,0.547638774,0.317626921,0.314848343,0.316231529,9.998336077,112.76,0.44076222,0.106633254,-0.047364251,domain
98,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,SEDR,0.54838186,0.645356424,0.623765013,0.746644573,0.636836206,0.654237166,0.645356424,13.35473299,39.39878807,0.037945319,0.063157854,0.126072845,domain
99,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,STAGATE,0.558234826,0.627179544,0.63082023,0.749792875,0.623679603,0.630776841,0.627179544,13.41419601,29.68638172,0.085998343,0.070787897,0.106240425,domain
100,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,SpaGCN,0.264909929,0.318847601,0.380544667,0.541010771,0.322113345,0.315647411,0.318847601,5.500001574,37.74518147,0.516155758,0.098878466,-0.08841407,domain
101,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,SpaceFlow,0.537638719,0.634986794,0.612344308,0.74018227,0.635186483,0.63482445,0.634986794,17.55350718,32.08332615,0.081855841,0.067819756,0.061326112,domain
102,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,SpatialMGCN,0.3150194,0.443593405,0.43352578,0.561723281,0.436582851,0.450832781,0.443593405,20.74709668,44.88004284,0.2004971,0.077098103,-0.006787733,domain
103,STARmap,Mouse Visual Cortex,20180505_BY3_1kgenes,stLearn,0.206655455,0.245040492,0.333745624,0.451864126,0.246111693,0.243978681,0.245040492,1.884621811,14.45586624,0.630488815,0.112310794,-0.090128785,domain
104,MERFISH,Hypothalamus,Animal1_Bregma-0.04,BASS,0.466382322,0.684601432,0.585596211,0.777150146,0.713885374,0.657625307,0.684601432,882.981872,1572.6,0.576348397,0.056154102,-0.15829936,celltype
105,MERFISH,Hypothalamus,Animal1_Bregma-0.04,Banksy,0.345573834,0.57273368,0.51981484,0.722485423,0.567464016,0.57813462,0.57273368,12.28299103,89.51513081,0.459912536,0.054427354,-0.174907444,celltype
106,MERFISH,Hypothalamus,Animal1_Bregma-0.04,CCST,0.089227111,0.154161852,0.27046841,0.487099125,0.165854062,0.144014746,0.154161852,493.6061765,1992.309236,0.112099125,0.031333793,-0.182513745,celltype
107,MERFISH,Hypothalamus,Animal1_Bregma-0.04,CellCharter,0.329302365,0.477096962,0.474563751,0.689030612,0.505200399,0.452324542,0.477096962,8.240906096,89.48564873,0.532325073,0.051168555,-0.163612493,celltype
108,MERFISH,Hypothalamus,Animal1_Bregma-0.04,DeepST,0.291504906,0.41208346,0.578170373,0.631413994,0.332504232,0.541769018,0.41208346,258.6484882,759.4829182,0.157798834,0.039207472,-0.340716825,celltype
109,MERFISH,Hypothalamus,Animal1_Bregma-0.04,GraphST,0.073163653,0.177751281,0.271316804,0.510021866,0.186466473,0.169814386,0.177751281,18.37807465,946.5168865,0.14340379,0.030927111,-0.167716443,celltype
110,MERFISH,Hypothalamus,Animal1_Bregma-0.04,PRECAST,0.423459229,0.629785385,0.546428292,0.862791545,0.700079465,0.572319517,0.629785385,31.08577404,139.06,0.708090379,0.058984976,-0.143779169,celltype
111,MERFISH,Hypothalamus,Animal1_Bregma-0.04,SEDR,0.322050866,0.528476308,0.468952939,0.72893586,0.55890672,0.501680678,0.528476308,23.6436903,709.0424681,0.517893586,0.049714144,-0.169893306,celltype
112,MERFISH,Hypothalamus,Animal1_Bregma-0.04,STAGATE,0.081311806,0.168363948,0.269983348,0.501858601,0.177956208,0.159788549,0.168363948,40.70990171,354.8124998,0.114795918,0.032386434,-0.231621741,celltype
113,MERFISH,Hypothalamus,Animal1_Bregma-0.04,SpaGCN,0.305846945,0.498152062,0.449977743,0.720663265,0.530762343,0.46931701,0.498152062,20.42915568,590.9129372,0.666909621,0.050468197,-0.201628253,celltype
114,MERFISH,Hypothalamus,Animal1_Bregma-0.04,SpaceFlow,0.066467476,0.133407146,0.237845745,0.486443149,0.147457869,0.121802032,0.133407146,54.01373205,388.5926046,0.041508746,0.029939918,-0.098646643,celltype
115,MERFISH,Hypothalamus,Animal1_Bregma-0.04,SpatialMGCN,0.617420702,0.693639546,0.70420516,0.858236152,0.733274529,0.658069546,0.693639546,39.71798596,475.5649128,0.68021137,0.059079705,-0.172036091,celltype
116,MERFISH,Hypothalamus,Animal1_Bregma-0.04,stLearn,0.442607495,0.656259766,0.561680377,0.816290087,0.709684399,0.610472583,0.656259766,1.610438967,24.37520084,0.700400875,0.058917085,-0.143572229,celltype
117,MERFISH,Hypothalamus,Animal1_Bregma-0.04,BASS,0.483453808,0.562454394,0.57808896,0.740342566,0.558316344,0.566654242,0.562454394,981.95895,1615.2,0.05994898,0.031114387,-0.045583117,domain
118,MERFISH,Hypothalamus,Animal1_Bregma-0.04,Banksy,0.263332326,0.478887017,0.42293673,0.592492711,0.454599156,0.506736195,0.478887017,12.71640964,89.57823372,0.060313411,0.030131457,-0.175830113,domain
119,MERFISH,Hypothalamus,Animal1_Bregma-0.04,CCST,0.19507758,0.349710542,0.343042561,0.483345481,0.341211725,0.358787464,0.349710542,490.9459094,1999.303003,0.062645773,0.029969971,-0.239626628,domain
120,MERFISH,Hypothalamus,Animal1_Bregma-0.04,CellCharter,0.107841965,0.208007676,0.277282478,0.3946793,0.203113703,0.213553885,0.208007676,9.431062508,89.55716972,0.509220117,0.051131873,-0.124111979,domain
