,Technology,Dataset,Sample,Method,train_sample,test_sample,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure
94,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.11spatial,CellCharter,Animal1_Bregma0.06,Animal1_Bregma0.11,0.3420313373532653,0.477914480687773,0.4565879537088744,0.7294674556213018,0.5253455878522778,0.4383733958957102,0.477914480687773
95,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.11spatial,DeepST,Animal1_Bregma0.06,Animal1_Bregma0.11,0.5326634858438871,0.5429446989858395,0.631129433299584,0.7895069033530572,0.5337453194255796,0.5524709097412078,0.5429446989858395
96,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.11spatial,GraphST,Animal1_Bregma0.06,Animal1_Bregma0.11,0.1244250392580667,0.2271365908739103,0.322225249106478,0.5485207100591716,0.2282008213150843,0.2260822405817014,0.2271365908739103
97,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.11spatial,PRECAST,Animal1_Bregma0.06,Animal1_Bregma0.11,0.5116770816384925,0.6644394179086106,0.6084344977675018,0.7735700197238659,0.6860046280948608,0.6441887303750129,0.6644394179086106
98,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.11spatial,SEDR,Animal1_Bregma0.06,Animal1_Bregma0.11,0.46402313466788403,0.594309647594821,0.5686872329091213,0.7845759368836293,0.6197955310597647,0.5713961970971674,0.594309647594821
99,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.11spatial,STAGATE,Animal1_Bregma0.06,Animal1_Bregma0.11,0.21644051851624244,0.2655176163481379,0.354265020690635,0.5891913214990139,0.28554236364608576,0.2481174450698648,0.265517616348138
100,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.11spatial,SpaGCN,Animal1_Bregma0.06,Animal1_Bregma0.11,0.6120856194872644,0.6930239429602926,0.6858233265138747,0.8940828402366863,0.739383324868474,0.6521350344586673,0.6930239429602925
101,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.11spatial,SpaceFlow,Animal1_Bregma0.06,Animal1_Bregma0.11,0.1603949043138279,0.1934362269866371,0.2993504914976309,0.5386193293885602,0.21290722567017176,0.17723959854192778,0.19343622698663712
102,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.11spatial,SpatialMGCN,Animal1_Bregma0.06,Animal1_Bregma0.11,0.49287830804489674,0.6742332215555924,0.6035435182590623,0.7546351084812624,0.6828085201954073,0.6658706433895829,0.6742332215555924
103,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.11spatial,stLearn,Animal1_Bregma0.06,Animal1_Bregma0.11,0.5655916824527855,0.6758195389755726,0.6477342083853719,0.8557001972386586,0.7308817476023834,0.6286984560600712,0.6758195389755726
104,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.21spatial,BASS,Animal1_Bregma0.06,Animal1_Bregma0.21,0.7384369614772197,0.7701658995427234,0.7938010095155734,0.920827240442866,0.814624790290865,0.7303086396023388,0.7701658995427234
105,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.21spatial,Banksy,Animal1_Bregma0.06,Animal1_Bregma0.21,0.6135534320383204,0.6937954585094196,0.6926227487662839,0.8665552538124086,0.7380729826452896,0.6546070879963983,0.6937954585094196
106,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.21spatial,CCST,Animal1_Bregma0.06,Animal1_Bregma0.21,0.1541216875967643,0.18306025424524058,0.3786447146952147,0.5078337163150198,0.15955487095858506,0.21473951673865566,0.18306025424524058
107,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.21spatial,CellCharter,Animal1_Bregma0.06,Animal1_Bregma0.21,0.35953221270824315,0.5032351161597421,0.47965905564042605,0.7405473156465427,0.5546217372476698,0.46065929919201176,0.5032351161597421
108,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.21spatial,DeepST,Animal1_Bregma0.06,Animal1_Bregma0.21,0.44691910723453593,0.5011409937386553,0.6174571706966303,0.7268435345728014,0.4398912772474587,0.5848678101735441,0.5011409937386554
109,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.21spatial,GraphST,Animal1_Bregma0.06,Animal1_Bregma0.21,0.173664134512549,0.2413181706008936,0.3840071021822156,0.5554627115103405,0.2333986737813591,0.24979397981006599,0.2413181706008935
110,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.21spatial,PRECAST,Animal1_Bregma0.06,Animal1_Bregma0.21,0.6052331539541186,0.7159959838337924,0.6866128053440702,0.8529350323793607,0.7432139091684951,0.690701175967368,0.7159959838337923
