,Technology,Dataset,Sample,Method,train_sample,test_sample,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Simulation
72,scCube,sim6,sim6_151670_151674,BayesSpace,151674,151670,0.4354464258557053,0.5926681835423107,0.6107004639889444,0.8177382319173365,0.655332328455035,0.5409422401481099,0.5926681835423107,Add adjacent domain
73,scCube,sim6,sim6_151670_151674,CCST,151674,151670,0.3908098236293678,0.5043162058184166,0.5851705021603638,0.7585533869115959,0.5324708083559964,0.4790023578736193,0.5043162058184166,Add adjacent domain
74,scCube,sim6,sim6_151670_151674,CellCharter,151674,151670,0.24981992441918202,0.46335889607373293,0.4634888848832562,0.7366819747416763,0.5274245077301124,0.41323464458320275,0.4633588960737328,Add adjacent domain
75,scCube,sim6,sim6_151670_151674,DeepST,151674,151670,0.42666948444877856,0.609003477453003,0.6077752081918885,0.811308840413318,0.6552024223594709,0.5690937359704423,0.609003477453003,Add adjacent domain
76,scCube,sim6,sim6_151670_151674,GraphST,151674,151670,0.4366311463921423,0.6065572304896582,0.6166914781244164,0.8257749712973593,0.6546492359545958,0.565047565303961,0.6065572304896583,Add adjacent domain
77,scCube,sim6,sim6_151670_151674,PRECAST,151674,151670,0.2689616252244425,0.3607587704266299,0.48069675255113176,0.715556831228473,0.4070125200865502,0.3239449879577351,0.36075877042662996,Add adjacent domain
78,scCube,sim6,sim6_151670_151674,SEDR,151674,151670,0.49073881602319525,0.6158563413849155,0.6523691579142927,0.8351894374282434,0.6787247121510623,0.5637502662199835,0.6158563413849155,Add adjacent domain
79,scCube,sim6,sim6_151670_151674,STAGATE,151674,151670,0.4575668823016577,0.6051168356704866,0.627423210413634,0.8318025258323767,0.6697745644006392,0.5518437444536742,0.6051168356704866,Add adjacent domain
80,scCube,sim6,sim6_151670_151674,SpaGCN,151674,151670,0.2861946379480372,0.4829919268393542,0.49606856469844585,0.7617680826636051,0.5400281867467335,0.4368527651010331,0.4829919268393542,Add adjacent domain
81,scCube,sim6,sim6_151670_151674,SpaceFlow,151674,151670,0.31328799482476744,0.4818554744836206,0.5178179687418049,0.7438576349024111,0.5351603858693629,0.43846491165998386,0.4818554744836206,Add adjacent domain
82,scCube,sim6,sim6_151670_151674,SpatialMGCN,151674,151670,0.295619748263645,0.4088511961222562,0.5119998000506989,0.6997703788748565,0.44595462705089267,0.3774475545416504,0.4088511961222562,Add adjacent domain
83,scCube,sim6,sim6_151670_151674,stLearn,151674,151670,0.19977793779226288,0.3110219588896367,0.46391717066059457,0.6768656716417911,0.30994632271604605,0.3128476954707925,0.31102195888963674,Add adjacent domain
84,scCube,sim6,sim6_151670_151675,BASS,151675,151670,0.2929062015919299,0.5139514023665817,0.4940852235312521,0.7809988518943742,0.5923455738955021,0.453882210598081,0.5139514023665817,Add adjacent domain
85,scCube,sim6,sim6_151670_151675,Banksy,151675,151670,0.3551523540843892,0.585219833665054,0.5575292956372906,0.8117106773823192,0.6262259836808612,0.5492965845083416,0.585219833665054,Add adjacent domain
86,scCube,sim6,sim6_151670_151675,BayesSpace,151675,151670,0.36350418938500223,0.5418829531920287,0.561752187228046,0.8105625717566017,0.5858677882224341,0.5040413511695625,0.5418829531920287,Add adjacent domain
87,scCube,sim6,sim6_151670_151675,CCST,151675,151670,0.39348142319223717,0.5186406817767728,0.5860989290786984,0.7805970149253731,0.5536688262743212,0.4881201665381531,0.5186406817767728,Add adjacent domain
88,scCube,sim6,sim6_151670_151675,CellCharter,151675,151670,0.24126531587602593,0.4465390521132438,0.4562207264258715,0.719804822043628,0.5081141074789501,0.3985048590791641,0.4465390521132438,Add adjacent domain
89,scCube,sim6,sim6_151670_151675,DeepST,151675,151670,0.45077241847901856,0.6100224631947708,0.6256908450405436,0.8024110218140068,0.6527591701456886,0.5728987231103916,0.6100224631947708,Add adjacent domain
90,scCube,sim6,sim6_151670_151675,GraphST,151675,151670,0.3705652505568567,0.6028970304383431,0.5577583888545617,0.8277841561423651,0.6860369902600922,0.5377301856934994,0.6028970304383431,Add adjacent domain
91,scCube,sim6,sim6_151670_151675,PRECAST,151675,151670,0.3436763660768439,0.4564618613024159,0.5390776031415458,0.7617680826636051,0.5138116206434886,0.41062896921370473,0.4564618613024159,Add adjacent domain
92,scCube,sim6,sim6_151670_151675,SEDR,151675,151670,0.46803524341294533,0.6109474702580115,0.6355168838244913,0.830654420206659,0.6753084163561287,0.5577870220648271,0.6109474702580117,Add adjacent domain
93,scCube,sim6,sim6_151670_151675,STAGATE,151675,151670,0.451180642814524,0.604901580115339,0.6224240003416349,0.8356486796785305,0.6708278344602536,0.5507738302914089,0.604901580115339,Add adjacent domain
94,scCube,sim6,sim6_151670_151675,SpaGCN,151675,151670,0.2812716784998712,0.4252939655622778,0.4862619706762842,0.7382319173363949,0.48808312348761496,0.3768183916962465,0.4252939655622778,Add adjacent domain
95,scCube,sim6,sim6_151670_151675,SpaceFlow,151675,151670,0.28452834083169376,0.4393728628640588,0.4915805659694456,0.7385189437428243,0.49635577882744186,0.3941588401768463,0.4393728628640588,Add adjacent domain
96,scCube,sim6,sim6_151670_151675,SpatialMGCN,151675,151670,0.2616502370597551,0.2285060623416074,0.49050744854699085,0.633467278989667,0.2471768893029025,0.21245778775215357,0.2285060623416074,Add adjacent domain
97,scCube,sim6,sim6_151670_151675,stLearn,151675,151670,0.19995438799014126,0.29713617225528066,0.45263330555701814,0.6777267508610791,0.30972330626579503,0.28555744721877013,0.29713617225528066,Add adjacent domain
98,scCube,sim6,sim6_151670_151676,BASS,151676,151670,0.30237208153659095,0.5400309947124707,0.502965701653022,0.7818599311136625,0.6172061568941425,0.4800106882106565,0.5400309947124707,Add adjacent domain
99,scCube,sim6,sim6_151670_151676,Banksy,151676,151670,0.36108746698263355,0.5883478237020745,0.5606786372854318,0.8108495981630309,0.6322901911940569,0.5503080861141777,0.5883478237020745,Add adjacent domain
100,scCube,sim6,sim6_151670_151676,BayesSpace,151676,151670,0.3258754203240396,0.5296027150274477,0.523153496004831,0.7634902411021814,0.5998996084389924,0.47405270020947754,0.5296027150274477,Add adjacent domain
101,scCube,sim6,sim6_151670_151676,CCST,151676,151670,0.4092398668176065,0.5345906648543953,0.5959959028977881,0.7859931113662457,0.5749434354707873,0.49991514755012884,0.5345906648543953,Add adjacent domain
102,scCube,sim6,sim6_151670_151676,CellCharter,151676,151670,0.2268036318236036,0.4285165865486313,0.4437793069217557,0.7116532721010332,0.48872143314132155,0.38158229807376765,0.4285165865486313,Add adjacent domain
103,scCube,sim6,sim6_151670_151676,DeepST,151676,151670,0.41236035985000735,0.6022336703147987,0.5969632975436723,0.808438576349024,0.6509744879522115,0.5604539767668018,0.6022336703147987,Add adjacent domain
104,scCube,sim6,sim6_151670_151676,GraphST,151676,151670,0.3981525865800485,0.6078642194453954,0.5807379862720179,0.8283582089552238,0.6832076567429437,0.5474878254713824,0.6078642194453954,Add adjacent domain
105,scCube,sim6,sim6_151670_151676,PRECAST,151676,151670,0.20865308016277062,0.36555373226283133,0.43605658456745566,0.6871412169919633,0.4104828980646452,0.32948963658019115,0.36555373226283133,Add adjacent domain
106,scCube,sim6,sim6_151670_151676,SEDR,151676,151670,0.5097220391427958,0.6257855002835357,0.666713250429502,0.8299655568312284,0.6889666208502555,0.5732219768164244,0.6257855002835357,Add adjacent domain
107,scCube,sim6,sim6_151670_151676,STAGATE,151676,151670,0.4705470560476798,0.6338414556865505,0.6375256240427849,0.8376004592422502,0.6954249519421716,0.5822777627558443,0.6338414556865504,Add adjacent domain
108,scCube,sim6,sim6_151670_151676,SpaGCN,151676,151670,0.23032768621288396,0.4018953355636278,0.45262583582558735,0.7121125143513203,0.44868938609113035,0.3639398576419571,0.4018953355636278,Add adjacent domain
109,scCube,sim6,sim6_151670_151676,SpaceFlow,151676,151670,0.27898767483064635,0.4894963309148876,0.4848282611405855,0.7433983926521239,0.5564808628460653,0.43724499652011894,0.4894963309148876,Add adjacent domain
110,scCube,sim6,sim6_151670_151676,SpatialMGCN,151676,151670,0.2912858688175526,0.3996495072800717,0.5008623354713525,0.7000574052812859,0.4461569547457852,0.3619226522828496,0.3996495072800716,Add adjacent domain
111,scCube,sim6,sim6_151670_151676,stLearn,151676,151670,0.19961234328801933,0.29331607157402706,0.45254240931368833,0.676406429391504,0.3047136790156673,0.28276373170350855,0.2933160715740271,Add adjacent domain
112,scCube,sim6,sim6_151671_151673,BASS,151673,151671,0.46745925283366574,0.6404725631159119,0.5872841388624932,0.832885414121671,0.6814592157530297,0.6041365168920863,0.640472563115912,Add adjacent domain
113,scCube,sim6,sim6_151671_151673,Banksy,151673,151671,0.42787196027161567,0.6285973015987645,0.580368245368435,0.7312973369166871,0.61153906107533,0.6466347579368055,0.6285973015987644,Add adjacent domain
114,scCube,sim6,sim6_151671_151673,BayesSpace,151673,151671,0.49142273332263464,0.6407693795340099,0.6082271933146757,0.8304422184216957,0.6693802579778241,0.6145040390852005,0.64076937953401,Add adjacent domain
115,scCube,sim6,sim6_151671_151673,CCST,151673,151671,0.47828135189464566,0.647729868066799,0.6069382822387865,0.7555827021744441,0.649698281474487,0.6463551572252882,0.6477298680667991,Add adjacent domain
