,Technology,Dataset,Sample,Method,Tissue,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW
116,10X,DLPFC,151669,CCST,Brain,0.31880986,0.488868456,0.558366397,0.741749175,0.500253153,0.478485662,0.488868456,268.1706675,1271.294393,0.016941694,0.061395778,0.092899979
117,10X,DLPFC,151669,CellCharter,Brain,0.29733832,0.501005961,0.51690142,0.756325633,0.564839684,0.45018125,0.501005961,223.6612195,394.0786785,0.060616062,0.062541813,0.109655882
118,10X,DLPFC,151669,DeepST,Brain,0.339836416,0.533846857,0.545678653,0.785918592,0.6072828,0.476463596,0.533846857,272.1118744,5055.257149,0.036083608,0.061517051,0.116215579
119,10X,DLPFC,151669,GraphST,Brain,0.534215331,0.636388262,0.69459394,0.823982398,0.695570043,0.586487633,0.636388262,21.99831281,905.1702188,0.00880088,0.061253536,0.091759602
120,10X,DLPFC,151669,PRECAST,Brain,0.36984774,0.512905821,0.581781816,0.757425743,0.547278061,0.48259599,0.512905821,27.71932392,720.88,0.04290429,0.066058201,0.070603633
121,10X,DLPFC,151669,SEDR,Brain,0.441397943,0.58581458,0.628528419,0.807425743,0.64134932,0.5394797,0.58581458,23.34467821,1858.855557,0.01809681,0.061426116,0.084739141
122,10X,DLPFC,151669,STAGATE,Brain,0.495677455,0.616676881,0.66740067,0.816886689,0.669973481,0.571235243,0.616676881,50.32851157,416.6694695,0.039713971,0.061415776,0.094016568
123,10X,DLPFC,151669,SpaGCN,Brain,0.326011906,0.549667139,0.533362358,0.810231023,0.633473813,0.48544432,0.549667139,50.58803086,1081.942107,0.093234323,0.063164277,0.081499384
124,10X,DLPFC,151669,SpaceFlow,Brain,0.32734761,0.529355498,0.542720394,0.755005501,0.585843296,0.4830284,0.529355498,34.10085869,456.8280546,0.022112211,0.061622465,0.116833298
125,10X,DLPFC,151669,SpatialMGCN,Brain,0.465981507,0.565148774,0.644290176,0.805005501,0.628920202,0.513119353,0.565148774,60.44827833,447.9148188,0.027227723,0.061354974,0.08950985
126,10X,DLPFC,151669,stLearn,Brain,0.30799717,0.447197024,0.537023443,0.75550055,0.480738514,0.418030706,0.447197024,338.406809,6103.641219,0.170517052,0.06551701,0.032155288
127,10X,DLPFC,151670,BASS,Brain,0.374821419,0.561476318,0.590962969,0.834959816,0.656607229,0.490422649,0.561476318,1657.95396,1930.02,0.033869116,0.060761367,0.10101852
128,10X,DLPFC,151670,Banksy,Brain,0.343460014,0.512656061,0.576974313,0.83065442,0.581825549,0.458185357,0.512656061,12.91675696,595.379052,0.033008037,0.062133082,0.103925653
129,10X,DLPFC,151670,BayesSpace,Brain,0.403408324,0.540153889,0.615628022,0.826061998,0.61340846,0.482529203,0.540153889,1702.722782,7733.34,0.023823192,0.060924503,0.050917321
130,10X,DLPFC,151670,CCST,Brain,0.290089295,0.446792595,0.551062107,0.771584386,0.470586968,0.425370257,0.446792595,251.8507396,1167.730161,0.012342135,0.060617161,0.028304365
131,10X,DLPFC,151670,CellCharter,Brain,0.341414644,0.471304725,0.567240117,0.774397245,0.54843601,0.413241278,0.471304725,197.3568017,362.6732054,0.065499426,0.06154768,0.081496763
132,10X,DLPFC,151670,DeepST,Brain,0.302050595,0.496675576,0.534997783,0.795407577,0.585431148,0.43138825,0.496675576,265.5694561,4845.858366,0.036337543,0.060664741,0.072244548
133,10X,DLPFC,151670,GraphST,Brain,0.436390312,0.556163778,0.653905969,0.838978186,0.601004929,0.517549277,0.556163778,20.80956182,841.0895344,0.006888634,0.060295915,0.071682524
134,10X,DLPFC,151670,PRECAST,Brain,0.371289454,0.506361451,0.600540585,0.792192882,0.552178988,0.467564846,0.506361451,27.50374999,1096.76,0.037026406,0.065028103,0.052218077
135,10X,DLPFC,151670,SEDR,Brain,0.36801754,0.527384879,0.592658682,0.832835821,0.598419834,0.471506872,0.527384879,21.93220277,1736.956812,0.016991963,0.060364929,0.076798993
136,10X,DLPFC,151670,STAGATE,Brain,0.468590978,0.578180867,0.663696519,0.833295063,0.648430459,0.521664814,0.578180867,50.03954616,419.4469957,0.044259472,0.062932847,0.062362937
137,10X,DLPFC,151670,SpaGCN,Brain,0.295747337,0.445515747,0.534920226,0.772962113,0.516049273,0.391944799,0.445515747,49.17316165,995.1097485,0.075774971,0.062217683,0.094961237
138,10X,DLPFC,151670,SpaceFlow,Brain,0.336354292,0.51359656,0.566723617,0.782146958,0.585616317,0.457507217,0.51359656,43.22932777,421.0026377,0.017910448,0.060732336,0.136155412
139,10X,DLPFC,151670,SpatialMGCN,Brain,0.312463804,0.507024176,0.540823161,0.844144661,0.602294256,0.437777181,0.507024176,55.89893646,426.5767529,0.031285878,0.060842757,0.050896819
140,10X,DLPFC,151670,stLearn,Brain,0.199027114,0.321825129,0.486991897,0.733639495,0.343008183,0.303106285,0.321825129,323.0814673,5760.027037,0.184557979,0.064944975,0.023733177
