,Technology,Dataset,Sample,Method,delta,lamda,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure
168,scCube,sim1,35_0.6,BASS,35,0.6,0.4079370359282047,0.3208764946408222,0.6051380757247821,0.7245421245421245,0.3250644080825732,0.316795117237538,0.3208764946408222
169,scCube,sim1,35_0.6,Banksy,35,0.6,0.184358291666153,0.2190179683833739,0.4292325538400839,0.6224175824175824,0.2318299043808556,0.2075726873769947,0.2190179683833739
170,scCube,sim1,35_0.6,BayesSpace,35,0.6,0.1547418909153547,0.2675220550758442,0.4544562312179213,0.663003663003663,0.2616461750850021,0.2736679114191324,0.2675220550758442
171,scCube,sim1,35_0.6,CCST,35,0.6,0.3759513283541895,0.2949363762019489,0.5805770361133413,0.6993406593406594,0.3006568974584723,0.2894446945117138,0.2949363762019489
172,scCube,sim1,35_0.6,CellCharter,35,0.6,0.2953388825931063,0.2814522378060022,0.5189403297654333,0.6625641025641025,0.2893080962832909,0.2742168678729201,0.2814522378060023
173,scCube,sim1,35_0.6,DeepST,35,0.6,0.3438292778357992,0.3234832757570596,0.5541470347409879,0.6904029304029304,0.3319426330802154,0.315656737593668,0.3234832757570595
174,scCube,sim1,35_0.6,GraphST,35,0.6,0.118793185609966,0.2993369125619031,0.4135448659741289,0.6153846153846154,0.3024118641686243,0.2963238642969656,0.2993369125619031
175,scCube,sim1,35_0.6,PRECAST,35,0.6,0.178995354244874,0.3039441595748502,0.4381386871216759,0.638095238095238,0.313818292272273,0.2946724413240147,0.3039441595748502
176,scCube,sim1,35_0.6,SEDR,35,0.6,0.3047229546693403,0.286948693310328,0.5498918616860894,0.6760439560439561,0.2810807009688884,0.293859713376172,0.286948693310328
177,scCube,sim1,35_0.6,STAGATE,35,0.6,0.2081623677126147,0.1943761825095012,0.4873649410073219,0.621978021978022,0.1931296332656072,0.1966601964981366,0.1943761825095012
178,scCube,sim1,35_0.6,SpaGCN,35,0.6,0.5867913954101123,0.5229878094799287,0.7184749412540676,0.8087912087912088,0.5441019209974832,0.5034511680960221,0.5229878094799287
179,scCube,sim1,35_0.6,SpatialMGCN,35,0.6,0.2736530495376027,0.3864985803427864,0.548975874523033,0.6168498168498169,0.3535863278799544,0.4261667039234703,0.3864985803427864
180,scCube,sim1,35_0.6,SpaceFlow,35,0.6,0.4041281068417509,0.3205573376505667,0.6022489425578186,0.7241025641025641,0.3249932767953604,0.3162411340202481,0.3205573376505667
181,scCube,sim1,35_0.6,stLearn,35,0.6,0.6236759799977032,0.5343972802472259,0.7446590337129038,0.8219780219780219,0.553791450289724,0.5163156458539999,0.5343972802472259
182,scCube,sim1,35_0.8,BASS,35,0.8,0.6935343402666914,0.585035671254626,0.7915533590555524,0.8659340659340661,0.5883521780779266,0.5817563447580512,0.5850356712546261
183,scCube,sim1,35_0.8,Banksy,35,0.8,0.3982290007024459,0.3957817866444314,0.5829114217990938,0.7148717948717949,0.4018021595647836,0.3900263166044674,0.3957817866444314
184,scCube,sim1,35_0.8,BayesSpace,35,0.8,0.3813097821786599,0.5029050829317138,0.5657537480398348,0.7531135531135531,0.5219161948936571,0.4852302776174435,0.5029050829317138
185,scCube,sim1,35_0.8,CCST,35,0.8,0.6184675696155815,0.521654577044117,0.7398239171277248,0.8287179487179486,0.5257927525874296,0.5175832761990302,0.521654577044117
186,scCube,sim1,35_0.8,CellCharter,35,0.8,0.4821538984968586,0.4825323574570564,0.6378495672196325,0.772014652014652,0.4950906168717687,0.4708642486943638,0.4825323574570564
187,scCube,sim1,35_0.8,DeepST,35,0.8,0.5745166861964226,0.5237823729101966,0.7075671035905758,0.8074725274725274,0.5293283685204757,0.5186000648048903,0.5237823729101966
188,scCube,sim1,35_0.8,GraphST,35,0.8,0.3935072466647428,0.4687705100257761,0.5720226384405931,0.7501831501831502,0.4893936669591375,0.4498151984730906,0.4687705100257762
189,scCube,sim1,35_0.8,PRECAST,35,0.8,0.2532852441667069,0.4130713253387377,0.4835796814864602,0.676923076923077,0.4205047581179128,0.4058961351004618,0.4130713253387378
190,scCube,sim1,35_0.8,SEDR,35,0.8,0.5612484933493297,0.4675337084705281,0.7032333835424274,0.770989010989011,0.4663268630891303,0.4688495963162101,0.467533708470528
191,scCube,sim1,35_0.8,STAGATE,35,0.8,0.645885737836646,0.5420742335987179,0.7608251624872804,0.8468864468864469,0.5419614838042207,0.5421875604422951,0.5420742335987179
192,scCube,sim1,35_0.8,SpaGCN,35,0.8,0.7703026112467783,0.69061265929136,0.8423647580774316,0.8923076923076924,0.7029166572877692,0.678731994613353,0.69061265929136
193,scCube,sim1,35_0.8,SpatialMGCN,35,0.8,0.5508983859648373,0.5614740953075625,0.709494873256437,0.7282051282051282,0.5276713577820219,0.5999040758582915,0.5614740953075625
194,scCube,sim1,35_0.8,SpaceFlow,35,0.8,0.556745418387831,0.494349476270255,0.6954166801266256,0.8063003663003663,0.5005855630265321,0.4882683465466133,0.4943494762702551
