,Rep,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW
90,5,SRTsim,sim6,SRTsim_6_1,BayesSpace,0.9910703093616577,0.9847433880737152,0.99330273592747,0.996694214876033,0.9847427779199242,0.9847439982282622,0.984743388073715,1431.5660300254822,5989.3,0.003305785123966942,0.06427009792430366,0.1614855585994237
91,5,SRTsim,sim6,SRTsim_6_10,BayesSpace,0.27919995725853264,0.3089506482934995,0.5194532803502231,0.46479338842975204,0.2675067013161651,0.3655903823529085,0.30895064829349944,1435.411329984665,5989.3,0.1652892561983471,0.07124320222540109,0.0845504429526011
92,5,SRTsim,sim6,SRTsim_6_2,BayesSpace,0.7185696333560229,0.8448478356686766,0.8175606974261368,0.7636363636363637,0.7420069771084138,0.9807825703982072,0.8448478356686766,1431.2063999176025,5989.3,0.003966942148760331,0.06323474925943709,0.2131103162246489
93,5,SRTsim,sim6,SRTsim_6_3,BayesSpace,0.9675151701378262,0.9566522279699095,0.9756571416348145,0.988099173553719,0.9566836195883819,0.956620838411473,0.9566522279699095,1433.8960700035095,5989.3,0.011900826446280991,0.06462297415289313,0.15723921206110428
94,5,SRTsim,sim6,SRTsim_6_4,BayesSpace,0.960977176875498,0.9441200306496581,0.9707324527276476,0.9847933884297521,0.9441353820697789,0.9441046797287502,0.9441200306496581,1432.2200999259949,5989.3,0.013553719008264463,0.0648787115771681,0.158832212016222
95,5,SRTsim,sim6,SRTsim_6_5,BayesSpace,0.9479960093073542,0.9267504239157941,0.9610309525952059,0.980495867768595,0.9267601299380313,0.9267407180968585,0.9267504239157941,1432.2937099933624,5989.3,0.019504132231404958,0.06502145684227767,0.15580011631674529
96,5,SRTsim,sim6,SRTsim_6_6,BayesSpace,0.938230171304306,0.9172587295653963,0.9536732707687184,0.9765289256198347,0.9172456723373267,0.9172717871652173,0.9172587295653964,1434.8434700965881,5989.3,0.02181818181818182,0.06531865671646406,0.15506377973403396
97,5,SRTsim,sim6,SRTsim_6_7,BayesSpace,0.68197767695063,0.7815757211572582,0.78947518450489,0.7401652892561984,0.6888469636380788,0.9031531948632259,0.7815757211572583,1432.830090045929,5989.3,0.02115702479338843,0.06463347494044139,0.20654781292764762
98,5,SRTsim,sim6,SRTsim_6_8,BayesSpace,0.8502067792589518,0.8179498184869772,0.8876729759423293,0.9398347107438016,0.8178074648801609,0.8180922216606619,0.8179498184869773,1435.0109598636627,5989.3,0.05057851239669422,0.0668126269070645,0.14451423473449884
99,5,SRTsim,sim6,SRTsim_6_9,BayesSpace,0.5449996980157694,0.576268754936625,0.6740663286607982,0.716694214876033,0.5482147667436869,0.6073488315467724,0.576268754936625,1440.8472900390625,5989.3,0.12231404958677686,0.06877517350061031,0.13400799369215013
100,1,SRTsim,sim6,SRTsim_6_1,PRECAST,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,80.49746990203857,287.8,0.0,0.06299407883487035,0.1630675108301148
101,1,SRTsim,sim6,SRTsim_6_10,PRECAST,0.019015278599919257,0.020521739408921748,0.3108490687281215,0.3117355371900826,0.019217211504602292,0.022016277151088306,0.020521739408921748,84.67641997337341,658.7,0.4419834710743802,0.07070200756966936,-0.027817384813751546
102,1,SRTsim,sim6,SRTsim_6_2,PRECAST,0.7143930767766106,0.8464163324667382,0.8140868275444251,0.7636363636363637,0.7517306088536678,0.9683920828573482,0.8464163324667382,77.04249000549316,372.5,0.0023140495867768596,0.06299407883487036,0.18037794196351473
